iter	RMSE
0	0.9607378884
1	0.9127208562
2	0.8975803858
3	0.8924613244
4	0.890363181
5	0.8892593987
6	0.8887707403
7	0.8883238305
8	0.8875896112
9	0.8871209539
10	0.8868004015
11	0.886443714
12	0.8861911408
13	0.8859502593
14	0.8854191499
15	0.8851432267
16	0.8847838512
17	0.884557186
18	0.8843774006
19	0.8841801581
20	0.8839232555
21	0.8837649555
22	0.8835353565
23	0.8832589539
24	0.883129862
25	0.8829837172
26	0.8827134444
27	0.8824830558
28	0.88230424
29	0.8820859643
30	0.8818743752
31	0.881696771
32	0.8814990097
33	0.881340589
34	0.8811974566
35	0.8810291247
36	0.8808726924
37	0.8806791294
38	0.8804186831
39	0.8803303745
40	0.8801248858
41	0.879967018
42	0.8797779705
43	0.8796788
44	0.8795240266
45	0.8793723256
46	0.8792758996
47	0.8790852963
48	0.8789489514
49	0.8788457806
50	0.8786373592
51	0.8785446719
52	0.8784348967
53	0.87830688
54	0.8780484905
55	0.8778983643
56	0.877735042
57	0.8775118459
58	0.8774309376
59	0.8773330077
60	0.877266189
61	0.8771203199
62	0.8769792791
63	0.8768281998
64	0.8766616823
65	0.8765837284
66	0.8764741149
67	0.876353797
68	0.876243468
69	0.8760891343
70	0.8759989386
71	0.8758739817
72	0.8757716103
73	0.8756242762
74	0.8754391935
75	0.8753381482
76	0.8751861466
77	0.8750243544
78	0.8749064945
79	0.8748254534
80	0.87474904
81	0.8746173214
82	0.8745373748
83	0.8743708969
84	0.8742218202
85	0.8741173376
86	0.8740443206
87	0.8738296463
88	0.8737829689
89	0.8736856333
90	0.8735471448
91	0.8734475094
92	0.8733431964
93	0.8732284994
94	0.8731169337
95	0.8729517337
96	0.8728944847
97	0.8727643563
98	0.8726643153
99	0.8724773026
