iter	Passed	Remaining
0	786	77846
1	1378	67554
2	1950	63055
3	2568	61636
4	3112	59142
5	3719	58275
6	4214	55998
7	4722	54306
8	5455	55164
9	6092	54833
10	6675	54008
11	7300	53537
12	7983	53430
13	8555	52555
14	9121	51688
15	9877	51856
16	10504	51288
17	11225	51137
18	11831	50437
19	12566	50267
20	13255	49865
21	14133	50108
22	14889	49847
23	15674	49634
24	16350	49050
25	17204	48966
26	18035	48763
27	18854	48483
28	19633	48067
29	20500	47833
30	21206	47201
31	22022	46796
32	22767	46224
33	23431	45484
34	24118	44791
35	24782	44057
36	25571	43540
37	26387	43052
38	27210	42559
39	27802	41704
40	28470	40969
41	29135	40234
42	30036	39815
43	30812	39216
44	31668	38705
45	32676	38359
46	33494	37770
47	34424	37293
48	35297	36737
49	36105	36105
50	36864	35418
51	37640	34744
52	38343	34002
53	39114	33319
54	39843	32599
55	40602	31901
56	41387	31222
57	42051	30450
58	42731	29694
59	43528	29019
60	44166	28237
61	44932	27539
62	45598	26780
63	46373	26084
64	47109	25366
65	47931	24691
66	48577	23926
67	49359	23228
68	50077	22498
69	50852	21794
70	51645	21094
71	52362	20363
72	53043	19618
73	53750	18885
74	54549	18183
75	55229	17440
76	55966	16717
77	56776	16013
78	57417	15262
79	58077	14519
80	58803	13793
81	59406	13040
82	60030	12295
83	60755	11572
84	61439	10842
85	62008	10094
86	62556	9347
87	63197	8617
88	63762	7880
89	64416	7157
90	65009	6429
91	65525	5697
92	66058	4972
93	66624	4252
94	67208	3537
95	67730	2822
96	68195	2109
97	68768	1403
98	69307	700
99	69869	0
