iter	RMSE
0	0.9858889451
1	0.9800329412
2	0.9745304894
3	0.9692149919
4	0.9642344177
5	0.9595282296
6	0.9550514594
7	0.9508271103
8	0.9467787341
9	0.9429697177
10	0.9393432615
11	0.9358427476
12	0.932574434
13	0.9295786489
14	0.9266166233
15	0.9238002649
16	0.9211493303
17	0.9186282686
18	0.9162781498
19	0.9139954732
20	0.9118257021
21	0.9098534428
22	0.9079620805
23	0.9061255317
24	0.904413766
25	0.9027322743
26	0.9011480018
27	0.8996379552
28	0.8981761671
29	0.8968749014
30	0.8956066157
31	0.8943518058
32	0.8931932645
33	0.8921003943
34	0.8909112895
35	0.8895580252
36	0.8883276823
37	0.8870774956
38	0.885955645
39	0.8849138425
40	0.8838628007
41	0.8829027695
42	0.8819830689
43	0.8811177526
44	0.8802760705
45	0.8794818138
46	0.8787651674
47	0.8780248353
48	0.8773576185
49	0.8767213562
50	0.8761165209
51	0.8755663406
52	0.8749886323
53	0.8744443909
54	0.873922272
55	0.8734462219
56	0.8729889904
57	0.8725510201
58	0.8721211127
59	0.8717092707
60	0.8713005725
61	0.8709338332
62	0.8705800398
63	0.8702341198
64	0.8698992243
65	0.8695757967
66	0.8692627541
67	0.8689823264
68	0.8687124634
69	0.8684555056
70	0.8682195202
71	0.867983687
72	0.8677398591
73	0.8674493039
74	0.8672025225
75	0.8669661523
76	0.8667537416
77	0.8665678203
78	0.8663740377
79	0.8661949149
80	0.8660377138
81	0.8658521514
82	0.865639229
83	0.8654406629
84	0.8652599298
85	0.8650957924
86	0.8649354752
87	0.8647742355
88	0.8646261109
89	0.8644891517
90	0.8643673902
91	0.8642406411
92	0.8641287425
93	0.8640150646
94	0.8639010107
95	0.8637886839
96	0.8636746681
97	0.8635633325
98	0.8634670266
99	0.863351699
100	0.863252581
101	0.8631556959
102	0.8630493818
103	0.8629505078
104	0.8628542787
105	0.8627667985
106	0.8626802877
107	0.8625950579
108	0.8625028896
109	0.8624007368
110	0.8623145944
111	0.8622447171
112	0.8621516797
113	0.8620726333
114	0.8619928729
115	0.8618961768
116	0.8618127465
117	0.8617521448
118	0.8616780193
119	0.8615866627
120	0.8615285487
121	0.8614497874
122	0.8613720187
123	0.8612701923
124	0.8611971642
125	0.861132924
126	0.8610721113
127	0.8610202458
128	0.8609564966
129	0.8608913038
130	0.8608001495
131	0.8607411287
132	0.8606495433
133	0.8605732398
134	0.8604975203
135	0.8604311447
136	0.8603695457
137	0.8603064615
138	0.8602405121
139	0.8601866454
140	0.860124727
141	0.8600312814
142	0.8599808157
143	0.8599198388
144	0.8598581255
145	0.8597727514
146	0.8597167628
147	0.8596392771
148	0.8595875675
149	0.8595064188
150	0.8594587074
151	0.859399813
152	0.8593126712
153	0.8592736967
154	0.8592270581
155	0.8591778663
156	0.8591405703
157	0.859097378
158	0.8590491965
159	0.8590040405
160	0.8589400907
161	0.8589057489
162	0.8588707699
163	0.8588172279
164	0.8587448646
165	0.8587043786
166	0.8586724553
167	0.8585874252
168	0.8585568327
169	0.8585097064
170	0.8584497193
171	0.858386124
172	0.8583429611
173	0.8582914762
174	0.8582353894
175	0.8581996073
176	0.8581634777
177	0.8581170331
178	0.85807541
179	0.8580415757
180	0.8579872538
181	0.8579482656
182	0.8579119677
183	0.8578822907
184	0.8578333343
185	0.857776166
186	0.8577338719
187	0.8576798587
188	0.8576290775
189	0.8575969887
190	0.8575540133
191	0.8575050264
192	0.8574688653
193	0.8574435922
194	0.8573956108
195	0.8573591476
196	0.8573097579
197	0.8572581287
198	0.8572190973
199	0.8571668005
200	0.8571378317
201	0.857099266
202	0.8570716283
203	0.8570365768
204	0.8570064765
205	0.8569689653
206	0.8569257705
207	0.8569004286
208	0.8568511626
209	0.8568336003
210	0.856788339
211	0.856753301
212	0.8567254354
213	0.8566928582
214	0.8566518532
215	0.8566296875
216	0.8566012113
217	0.8565694001
218	0.8565347758
219	0.8565132824
220	0.8564661241
221	0.8564064238
222	0.8563798198
223	0.8563323312
224	0.8563062004
225	0.8562784445
226	0.8562275247
227	0.8561917235
228	0.8561335378
229	0.8560815586
230	0.8560543863
231	0.8560199134
232	0.8559642147
233	0.8559350743
234	0.8559052546
235	0.8558661429
236	0.8558119308
237	0.8557824726
238	0.855745175
239	0.855724321
240	0.8557006214
241	0.8556732658
242	0.8556540149
243	0.8555873708
244	0.8555471332
245	0.855525688
246	0.8554989495
247	0.8554554359
248	0.8553918569
249	0.8553486518
250	0.8553018
251	0.8552741617
252	0.8552545945
253	0.8552174285
254	0.8551768475
255	0.855134172
256	0.8550802706
257	0.8550574435
258	0.8550237368
259	0.8549995023
260	0.8549733453
261	0.8549475141
262	0.8549197397
263	0.8548916633
264	0.8548561095
265	0.8548355774
266	0.8548060897
267	0.8547479277
268	0.8547157253
269	0.8546921046
270	0.854659406
271	0.854632636
272	0.8546096501
273	0.8545855861
274	0.8545490804
275	0.8545302166
276	0.8545030081
277	0.8544782152
278	0.8544524314
279	0.8544114153
280	0.8543809387
281	0.8543264877
282	0.8543013657
283	0.8542654972
284	0.8542296504
285	0.8541931012
286	0.8541638183
287	0.8541351622
288	0.8541117596
289	0.8540995164
290	0.8540570239
291	0.8540216286
292	0.8539975347
293	0.8539569293
294	0.8539249489
295	0.8538916316
296	0.8538651793
297	0.8538456951
298	0.8538267006
299	0.8537933896
300	0.8537684916
301	0.853753089
302	0.8537231202
303	0.8536905506
304	0.8536595365
305	0.8536366926
306	0.8536093804
307	0.8535852655
308	0.8535624794
309	0.8535392026
310	0.8535099531
311	0.8534872226
312	0.8534481685
313	0.8533978079
314	0.8533615718
315	0.8533457582
316	0.8532992678
317	0.8532759035
318	0.8532649481
319	0.8532272869
320	0.8532085017
321	0.8531816942
322	0.8531326176
323	0.8530927179
324	0.853076358
325	0.85304094
326	0.8530057863
327	0.8529815076
328	0.8529554496
329	0.8529386667
330	0.8529247178
331	0.8528904457
332	0.85287193
333	0.8528268806
334	0.8528056494
335	0.8527867027
336	0.8527651758
337	0.8527423754
338	0.8527171564
339	0.8526834979
340	0.8526642106
341	0.852636243
342	0.8526112377
343	0.8525909093
344	0.8525746123
345	0.8525481357
346	0.852517549
347	0.8524957359
348	0.8524652904
349	0.8524478976
350	0.8524302162
351	0.8524139203
352	0.8523764489
353	0.8523539624
354	0.8523359737
355	0.8523165042
356	0.8522840889
357	0.8522632205
358	0.852235446
359	0.8521742916
360	0.852158637
361	0.8521145986
362	0.8520525226
363	0.8520259419
364	0.8520080319
365	0.8519845688
366	0.8519639906
367	0.8519444003
368	0.8519280996
369	0.851909836
370	0.8518904862
371	0.8518583956
372	0.8518080075
373	0.8517874097
374	0.8517721517
375	0.8517506352
376	0.8517280945
377	0.8517079527
378	0.8516691452
379	0.8516358003
380	0.8516063795
381	0.8515853247
382	0.8515461298
383	0.8515252314
384	0.8515143348
385	0.8514990927
386	0.8514790987
387	0.851463512
388	0.8514427484
389	0.8514231127
390	0.8513766226
