iter	Passed	Remaining
0	1193	7158413
1	2313	6938225
2	3488	6974101
3	4694	7037453
4	5802	6957089
5	6959	6952941
6	7921	6781941
7	8991	6734689
8	10004	6659482
9	11039	6612460
10	12054	6562966
11	12966	6470066
12	13867	6386533
13	14738	6301718
14	15584	6218191
15	16307	6098877
16	17116	6023979
17	17962	5969679
18	18769	5908300
19	19575	5852991
20	20414	5812264
21	21217	5765449
22	22054	5731242
23	22820	5682294
24	23682	5660022
25	24492	5627653
26	25255	5587175
27	26062	5558854
28	26889	5536490
29	27749	5522084
30	28565	5500276
31	29368	5477251
32	30164	5454304
33	30934	5428090
34	31819	5422947
35	32563	5394650
36	33295	5365902
37	34032	5339544
38	34837	5324793
39	35543	5295938
40	36273	5272049
41	36981	5246117
42	37628	5212915
43	38266	5179892
44	38947	5154066
45	39696	5138080
46	40449	5123323
47	41173	5105527
48	41932	5092705
49	42594	5068718
50	43252	5045232
51	43950	5027221
52	44626	5007413
53	45299	4987924
54	46099	4982893
55	46799	4967442
56	47476	4950092
57	48193	4937347
58	48897	4923752
59	49629	4913351
60	50344	4901601
61	51101	4894227
62	51751	4876964
63	52517	4870974
64	53136	4851732
65	53839	4840703
66	54570	4832338
67	55472	4839170
68	56208	4831465
69	57073	4834931
70	57856	4831385
71	58583	4823359
72	59216	4807913
73	60017	4806233
74	60816	4804531
75	61670	4807077
76	62556	4812010
77	63254	4802479
78	63903	4789492
79	64620	4781907
80	65351	4775502
81	66148	4773991
82	67055	4780359
83	67860	4779337
84	68768	4785461
85	69602	4786385
86	70478	4790085
87	71323	4791653
88	72285	4800908
89	72949	4790348
90	73618	4780333
91	74375	4776171
92	75209	4777039
93	76020	4776354
94	76966	4784071
95	77791	4784169
96	78658	4786842
97	79568	4792002
98	80304	4786649
99	81214	4791637
100	82040	4791625
101	82854	4790951
102	83644	4788859
103	84660	4799609
104	85646	4808439
105	86511	4810339
106	87390	4813025
107	88268	4815520
108	89345	4828742
109	90538	4847940
110	91462	4852482
111	92324	4853629
112	93583	4875431
113	94715	4890330
114	95800	4902479
115	96915	4915951
116	98019	4928617
117	99095	4939652
118	100060	4945012
119	101205	4959046
120	102235	4967292
121	103626	4992768
122	104724	5003773
123	105799	5013512
124	106913	5024933
125	107825	5026731
126	108641	5024029
127	109523	5024405
128	110462	5027319
129	111316	5026384
130	112320	5032149
131	113045	5025369
132	113982	5028092
133	114891	5029490
134	115789	5030404
135	116627	5028707
136	117463	5026928
137	118279	5024290
138	119145	5023821
139	120028	5024055
140	120814	5020240
141	121669	5019307
142	122334	5010565
143	123221	5010997
144	123874	5001972
145	124781	5003239
146	125665	5003527
147	126510	5002288
148	127149	4992968
149	128115	4996509
150	128824	4990045
151	129613	4986690
152	130366	4982041
153	131012	4973381
154	131737	4967764
155	132670	4970031
156	133363	4963315
157	134306	4965926
158	134992	4959052
159	135771	4955663
160	136755	4959715
161	137545	4956734
162	138350	4954290
163	139136	4951207
164	140173	4957038
165	141177	4961612
166	141863	4955014
167	142872	4959726
168	143568	4953530
169	144365	4950878
170	145183	4948971
171	146096	4950303
172	146829	4945511
173	147637	4943312
174	148406	4939805
175	149036	4931750
176	149839	4929481
177	150536	4923739
178	151333	4921298
179	152016	4915192
180	152828	4913305
181	153759	4915228
182	154419	4908500
183	155121	4903179
184	155913	4900753
185	156739	4899370
186	157485	4895525
187	158339	4895040
188	159148	4893183
189	160017	4893174
190	160927	4894399
191	161686	4891025
192	162546	4890707
193	163281	4886673
194	164071	4884287
195	164781	4879554
196	165729	4881875
197	166735	4885843
198	167555	4884381
199	168428	4884437
200	169202	4881629
201	170043	4880751
202	170803	4877587
203	171642	4876661
204	172442	4874664
205	173247	4872809
206	174105	4872434
207	174775	4866831
208	175672	4867558
209	176367	4862692
210	177252	4863099
211	177939	4858092
212	178773	4857095
213	179646	4857174
214	180491	4856476
215	181228	4852900
216	181999	4850257
217	182671	4844979
218	183532	4844750
219	184336	4843013
220	185255	4844317
221	186302	4848905
222	187055	4845818
223	187956	4846584
224	188762	4844897
225	189608	4844247
226	190563	4846354
227	191444	4846556
228	192408	4848855
229	193518	4854801
230	194291	4852236
231	195318	4856026
232	196282	4858210
233	197165	4858352
234	198175	4861624
235	199352	4868935
236	200466	4874624
237	201703	4883249
238	202774	4887803
239	203789	4890949
240	204818	4894406
241	206056	4902786
242	207122	4907007
243	208456	4917531
244	209627	4924109
245	210587	4925684
246	211668	4930072
247	212742	4934250
248	213896	4940241
249	214879	4942219
250	216059	4948712
251	216855	4946374
252	217563	4942047
253	218389	4940426
254	219211	4938699
255	220117	4938875
256	221031	4939233
257	221852	4937518
258	222584	4933820
259	223327	4930393
260	224208	4930005
261	224998	4927629
262	225814	4925844
263	226653	4924562
264	227529	4924091
265	228320	4921763
266	229246	4922365
267	230111	4921645
268	231182	4925304
269	232149	4926719
270	232910	4923771
271	233824	4924074
272	234630	4922092
273	235429	4919962
274	236298	4919307
275	236953	4914202
276	237782	4912731
277	238553	4910075
278	239370	4908378
279	240229	4907552
280	241022	4905355
281	242033	4907608
282	242829	4905489
283	243719	4905277
284	244735	4907585
285	245653	4907919
286	246514	4907106
287	247374	4906258
