iter	RMSE
0	0.985950034
1	0.980054487
2	0.9745527107
3	0.9692839672
4	0.9643093576
5	0.9595696446
6	0.9551363497
7	0.9508171983
8	0.9467123238
9	0.9428393124
10	0.9392227481
11	0.9357422841
12	0.9325503769
13	0.9295081267
14	0.9264906552
15	0.923642196
16	0.9209675085
17	0.9184729584
18	0.9160921982
19	0.9137970258
20	0.9116172432
21	0.9095551809
22	0.9076361481
23	0.9057979865
24	0.9041127593
25	0.9024420826
26	0.9009253803
27	0.8993544034
28	0.8979437034
29	0.8965824198
30	0.8953229218
31	0.8940407927
32	0.8928693362
33	0.8917584131
34	0.8907240245
35	0.8897300195
36	0.8887801349
37	0.887879018
38	0.8867339891
39	0.885625387
40	0.8845339181
41	0.8834898561
42	0.8824715578
43	0.8815210895
44	0.8806252928
45	0.8797777182
46	0.8789644564
47	0.8781860229
48	0.8774427577
49	0.8767295484
50	0.8760920919
51	0.8754792308
52	0.8748599142
53	0.8743077842
54	0.873753586
55	0.8732094668
56	0.872731752
57	0.8722484187
58	0.8717827842
59	0.8713314721
60	0.8709206788
61	0.8705092012
62	0.8701320067
63	0.8697690627
64	0.8694172664
65	0.869071591
66	0.868767347
67	0.8684602269
68	0.8681617008
69	0.8678910836
70	0.8676143475
71	0.8673407042
72	0.8670933284
73	0.8668511553
74	0.8666012401
75	0.86638985
76	0.8661838221
77	0.8659714975
78	0.8657852649
79	0.8655500645
80	0.8653618846
81	0.8651664258
82	0.865001612
83	0.8648288023
84	0.8646729475
85	0.8645022054
86	0.8643445467
87	0.8641937407
88	0.8640522905
89	0.8638787959
90	0.8637480435
91	0.86354519
92	0.8634080082
93	0.8632609718
94	0.8631392131
95	0.8630100787
96	0.8628691039
97	0.8627610927
98	0.8626311288
99	0.8625275667
100	0.862400855
101	0.8622837816
102	0.8621496693
103	0.8620442785
104	0.8619361941
105	0.8618209822
106	0.8617182967
107	0.8615954729
108	0.8614738942
109	0.861358707
110	0.8612585158
111	0.8611689165
112	0.861082545
113	0.8609930555
114	0.8609063562
115	0.8608175738
116	0.8607303506
117	0.8606545566
118	0.8605567426
119	0.860479787
120	0.8603797243
121	0.8602900199
122	0.8602093698
123	0.860142723
124	0.8600551121
125	0.8599797603
126	0.8599175005
127	0.8598518411
128	0.8597894501
129	0.8597090949
130	0.8596227584
131	0.8595462899
132	0.8594607684
133	0.8593981522
134	0.8593258391
135	0.85927399
136	0.859209544
137	0.8591190148
138	0.8590417985
139	0.85898002
140	0.8588859229
141	0.8588236297
142	0.8587602122
143	0.8586967343
144	0.858638023
145	0.8585866913
146	0.8585478845
147	0.8584746482
148	0.8584176106
149	0.8583707567
150	0.8582863619
151	0.8582028482
152	0.8581222035
153	0.8580647232
154	0.8579979984
155	0.8579508109
156	0.8578906243
157	0.8578430263
158	0.8577941621
159	0.8577516618
160	0.8577031259
161	0.8576598184
162	0.8576130673
163	0.8575531522
164	0.8575017591
165	0.8574574371
166	0.8574067455
167	0.8573466138
168	0.8573020325
169	0.8572519497
170	0.8571994053
171	0.8571459406
172	0.8570858453
173	0.8570439395
174	0.8569794588
175	0.8569088067
176	0.8568757548
177	0.8568059867
178	0.8567685826
179	0.8567248046
180	0.8566376516
181	0.8565938803
182	0.8565585777
183	0.8565010949
184	0.8564447783
185	0.8563647753
186	0.8562931855
187	0.8562484688
188	0.8562073356
189	0.8561557664
190	0.8560940939
191	0.856045571
192	0.8560008384
193	0.8559618815
194	0.8559032997
195	0.8558561569
196	0.8558290902
197	0.855788024
198	0.8557098265
199	0.8556776002
200	0.8556405443
201	0.8556063058
202	0.8555704107
203	0.8555391393
204	0.855494416
205	0.8554580115
206	0.8554240378
207	0.8553942742
208	0.8553599187
209	0.8553231152
210	0.8552869767
211	0.8552434629
212	0.8551747209
213	0.85513536
214	0.8550821198
215	0.8550325795
216	0.8549915962
217	0.854959291
218	0.8549029233
219	0.8548683059
220	0.8548017056
221	0.8547582264
222	0.8547258644
223	0.854676037
224	0.8546513538
225	0.8546174771
226	0.8545851572
227	0.8545512629
228	0.8545195703
229	0.8544826086
230	0.8544462307
231	0.8544033726
232	0.8543709232
233	0.854339356
234	0.8543125339
235	0.8542556299
236	0.8542156501
237	0.8541795479
238	0.8541535831
239	0.8541180129
240	0.8541004974
241	0.8540647928
242	0.8540316218
243	0.8539902817
244	0.8539588821
245	0.8538674296
246	0.8538350105
247	0.8538031087
248	0.8537593894
249	0.8537356655
250	0.8537099878
251	0.8536679512
252	0.8536314577
253	0.8535735586
254	0.8535433289
255	0.8535148732
256	0.8534822978
257	0.853452687
258	0.8534205436
259	0.853389524
260	0.853358786
261	0.8533087601
262	0.8532792738
263	0.8532456506
264	0.8532197013
265	0.8531768921
266	0.8531551583
267	0.8531311076
268	0.8530643448
269	0.8530336821
270	0.8530009216
271	0.8529621456
272	0.8529428166
273	0.8529156163
274	0.8528748567
275	0.8528474802
276	0.852817242
277	0.8527980194
278	0.8527623749
279	0.8527436663
280	0.8527197755
281	0.8526930525
282	0.8526651886
283	0.8526378891
284	0.8526050539
285	0.8525586405
286	0.8525102856
287	0.8524603844
288	0.8524341096
289	0.8524153491
290	0.8523869609
291	0.8523614725
292	0.8523245598
293	0.8522898474
294	0.8522677258
295	0.8522371781
296	0.8522074119
297	0.8521775746
298	0.8521409479
299	0.8521216582
300	0.8520712124
301	0.852048673
302	0.8520103528
303	0.8519847728
304	0.8519531354
305	0.8519262322
306	0.8518995157
307	0.851838201
308	0.8518135753
309	0.8517774703
310	0.8517517602
311	0.851700712
312	0.8516745723
313	0.851650345
314	0.851611911
315	0.8515885592
316	0.8515702001
317	0.8515506716
318	0.8515251067
