iter	Passed	Remaining
0	691	4149012
1	1421	4262617
2	2327	4652724
3	3183	4772057
4	4053	4859734
5	4957	4952476
6	5772	4942080
7	6561	4914859
8	7354	4895622
9	8279	4959617
10	9174	4995172
11	10026	5003290
12	10865	5003880
13	11709	5006563
14	12564	5013277
15	13335	4987590
16	14169	4986656
17	15008	4987967
18	15801	4974229
19	16702	4994108
20	17559	4999407
21	18437	5009849
22	19319	5020446
23	20121	5010204
24	20999	5018985
25	21844	5019201
26	22669	5015024
27	23498	5011826
28	24297	5002677
29	25147	5004403
30	26004	5007150
31	26839	5005547
32	27682	5005442
33	28537	5007475
34	29406	5011679
35	30286	5017484
36	31057	5005363
37	31859	4998600
38	32901	5028933
39	33735	5026651
40	34523	5017678
41	35271	5003562
42	35976	4984027
43	36768	4977098
44	37444	4955203
45	38102	4931733
46	38849	4920635
47	39610	4911676
48	40377	4903777
49	41209	4903910
50	42025	4902167
51	42814	4897314
52	43613	4893748
53	44332	4881505
54	45060	4870585
55	45874	4869225
56	46647	4863652
57	47409	4857066
58	48095	4842995
59	48999	4850958
60	50052	4873115
61	51090	4893168
62	51975	4898041
63	52850	4901845
64	53865	4918363
65	54755	4923037
66	55723	4934406
67	56657	4942501
68	57851	4972706
69	58900	4989682
70	60130	5021343
71	61045	5026117
72	62015	5035184
73	63011	5046044
74	63864	5045263
75	64945	5062320
76	65978	5075165
77	66804	5071992
78	67865	5086458
79	68958	5102964
80	70078	5120910
81	71299	5145754
82	72465	5165974
83	73454	5173263
84	74527	5186223
85	75615	5199899
86	76580	5204799
87	77706	5220468
88	78762	5231098
89	79609	5227716
90	80495	5226881
91	81440	5229873
92	82182	5219923
93	83000	5214889
94	83706	5203017
95	84505	5197063
96	85286	5190162
97	85925	5174839
98	86647	5164703
99	87466	5160530
100	88153	5148703
101	88787	5134027
102	89575	5128404
103	90349	5122122
104	91247	5122875
105	91951	5112854
106	92596	5099742
107	93369	5093849
108	94134	5087590
109	94859	5079275
110	95768	5080885
111	96524	5074410
112	97213	5064548
113	98097	5064903
114	98966	5064490
115	100047	5074821
116	100854	5071181
117	101673	5068188
118	102508	5065978
119	103506	5071804
120	104414	5073164
121	105160	5066649
122	106083	5068731
123	106981	5069535
124	108031	5077499
125	108963	5079782
126	109599	5068322
127	110312	5060604
128	111049	5054031
129	111834	5049760
130	112673	5047966
131	113505	5045848
132	114255	5040133
133	115232	5044418
134	116089	5043426
135	116826	5037282
136	117535	5029992
137	118381	5028637
138	119360	5032881
139	120176	5030230
140	121000	5027964
141	121884	5028177
142	122933	5035106
143	123811	5035021
144	124549	5029224
145	125354	5026203
146	126114	5021414
147	126897	5017603
148	127634	5011997
149	128568	5014158
150	129437	5013786
151	130665	5027197
152	131746	5034799
153	132685	5036864
154	133730	5042946
155	134627	5043361
156	135820	5054776
157	136860	5060356
158	137846	5063920
159	138721	5063327
160	139693	5066266
161	140708	5070706
162	141607	5070929
163	142793	5081360
164	143884	5088263
165	145072	5098503
166	146108	5103304
167	147347	5115046
168	148260	5115410
169	149352	5121916
170	150494	5130020
171	151432	5131100
172	152328	5130743
173	153141	5127586
174	154155	5131174
175	155226	5136588
176	156019	5132781
177	157002	5135213
178	157804	5131731
179	158512	5125221
180	159526	5128640
181	160333	5125374
182	160966	5116621
183	161818	5114857
184	162693	5113847
185	163623	5114549
186	164571	5115808
187	165379	5112698
188	166264	5111980
189	167250	5114342
190	167996	5109380
191	168676	5102450
192	169464	5098859
193	170286	5096315
194	171323	5100179
195	172054	5094922
196	172866	5092100
197	173641	5088216
198	174404	5084032
199	175150	5079366
200	175948	5076254
201	176670	5070971
202	177356	5064713
203	178075	5059452
204	178876	5056542
205	179688	5053957
206	180530	5052235
207	181321	5049107
208	182326	5051932
209	183103	5048437
210	183927	5046251
211	184827	5046132
212	185760	5046941
213	186528	5043236
214	187265	5038751
215	188086	5036539
216	189007	5037012
217	189904	5036815
218	191028	5042627
219	191789	5038836
220	192885	5043817
221	193943	5047764
222	194849	5047739
223	195990	5053756
224	196757	5050121
225	197568	5047608
226	198429	5046393
227	199263	5044501
228	200147	5043882
229	201108	5045189
230	201950	5043527
231	202837	5042971
232	203741	5042811
233	204761	5045536
234	205741	5047237
235	206841	5051840
236	207906	5055557
237	208925	5058106
238	209801	5057188
239	210715	5057181
240	211803	5061303
241	212927	5066277
242	213842	5066222
243	214997	5071816
244	216141	5077114
245	217559	5088769
246	218848	5097307
247	220061	5104013
248	221258	5110274
249	222325	5113497
250	223232	5113006
251	224583	5122638
252	225637	5125452
253	226948	5134043
254	227824	5132755
255	228844	5134688
256	229776	5134644
257	230969	5140408
258	231869	5139627
259	232816	5139866
260	233761	5140056
261	234551	5136866
262	235382	5134563
263	236196	5131895
264	236933	5127595
265	238031	5131101
266	238750	5126429
267	239591	5124389
268	240778	5129739
269	241703	5129485
270	242651	5129698
271	243583	5129586
272	244228	5123430
273	245051	5121034
274	245873	5118634
275	246622	5114739
276	247358	5110578
277	248142	5107459
278	249041	5106697
279	249786	5102782
280	250675	5101819
281	251432	5098204
282	252352	5097885
283	253204	5096196
284	253986	5093092
285	254813	5090914
286	255827	5092479
287	256798	5093164
288	257623	5090965
289	258320	5086244
290	259132	5083803
291	259953	5081557
292	260971	5083163
293	261748	5080067
294	262443	5075394
295	263389	5075585
296	264323	5075546
297	265169	5073815
298	265998	5071771
299	266689	5067094
300	267747	5069403
301	268461	5065203
302	269360	5064511
303	270087	5060594
304	270955	5059308
305	271840	5058372
306	272644	5055917
307	273655	5057287
308	274365	5053116
309	275271	5052572
310	275976	5048331
311	276910	5048294
312	277601	5043838
313	278437	5042027
314	279379	5042136
315	280365	5043030
316	281224	5041635
317	282170	5041797
318	282967	5039302
319	283736	5036330
320	284770	5038042
321	285606	5036252
322	286764	5040137
323	287527	5037056
324	288527	5038131
325	289496	5038651
326	290638	5042177
327	291678	5043904
328	292921	5049106
329	294180	5054558
330	295245	5056631
331	296290	5058349
332	297292	5059325
333	298221	5059048
334	299363	5062377
335	300560	5066591
336	301964	5074254
337	302902	5074067
338	304080	5077869
339	305276	5081949
340	306383	5084521
341	307453	5086460
342	308501	5088031
343	309219	5084150
344	310316	5086487
345	311403	5088654
346	312592	5092466
347	313632	5093816
348	314791	5097095
349	315901	5099549
350	316778	5098231
351	317628	5096490
352	318836	5100481
353	319771	5100089
354	320674	5099182
355	321560	5098000
356	322313	5094717
357	323281	5094840
358	324042	5091715
359	324847	5089281
360	325856	5090033
361	326683	5087954
362	327643	5087956
363	328593	5087784
364	329415	5085626
365	330248	5083654
366	330981	5080156
367	331993	5080945
368	332707	5077177
369	333431	5073567
370	334280	5071880
371	335098	5069708
372	335885	5067102
373	336773	5066009
374	337627	5064407
375	338456	5062440
376	339388	5062024
377	340338	5061857
378	341298	5061838
379	342000	5058012
380	342852	5056394
381	343533	5052285
382	344267	5048952
383	345068	5046633
384	346026	5046589
385	346784	5043640
386	347726	5043383
387	348475	5040326
388	349464	5040740
389	350454	5041148
390	351165	5037563
391	352059	5036599
392	353084	5037522
393	353953	5036207
394	354937	5036518
395	355765	5034625
396	356564	5032324
397	357504	5032013
398	358369	5030643
399	359199	5028791
400	360003	5026584
401	360729	5023289
402	361600	5022036
403	362376	5019452
404	363042	5015365
405	363872	5013559
406	364619	5010611
407	365666	5011786
408	366650	5012079
409	367611	5012065
410	368541	5011623
411	369359	5009661
412	370303	5009403
413	371204	5008576
414	371883	5004744
415	372516	5000312
416	373441	4999821
417	374180	4996830
418	375065	4995801
419	375879	4993822
